Sequence Name,Locustag,Accession,Database,Id,InterPro ID,InterPro Name,InterPro Type,Name
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_CP022310,CD934_RS01230,WP_142230956.1,PANTHER,PTHR45527,,Unintegrated,Unintegrated,NONRIBOSOMAL PEPTIDE SYNTHETASE
NZ_CP022310,CD934_RS01230,WP_142230956.1,NCBIFAM,NF003417,,Unintegrated,Unintegrated,PRK04813.1
NZ_CP022310,CD934_RS01230,WP_142230956.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
NZ_CP022310,CD934_RS01230,WP_142230956.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
NZ_CP022310,CD934_RS01230,WP_142230956.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
NZ_CP022310,CD934_RS01230,WP_142230956.1,CDD,cd05930,,Unintegrated,Unintegrated,A_NRPS
NZ_CP022310,CD934_RS01230,WP_142230956.1,CDD,cd17646,,Unintegrated,Unintegrated,A_NRPS_AB3403-like
NZ_CP022310,CD934_RS01230,WP_142230956.1,CDD,cd19540,,Unintegrated,Unintegrated,LCL_NRPS-like
NZ_CP022310,CD934_RS01230,WP_142230956.1,CDD,cd19543,,Unintegrated,Unintegrated,DCL_NRPS
NZ_CP022310,CD934_RS01230,WP_142230956.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
NZ_CP022310,CD934_RS01230,WP_142230956.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
NZ_CP022310,CD934_RS01230,WP_142230956.1,GENE3D,G3DSA:2.30.38.10,,Unintegrated,Unintegrated,Luciferase; Domain 3
NZ_CP022310,CD934_RS01230,WP_142230956.1,GENE3D,G3DSA:3.30.559.30,,Unintegrated,Unintegrated,"Nonribosomal peptide synthetase, condensation domain"
NZ_CP022310,CD934_RS01230,WP_142230956.1,GENE3D,G3DSA:3.30.559.30,,Unintegrated,Unintegrated,"Nonribosomal peptide synthetase, condensation domain"
NZ_CP022310,CD934_RS01230,WP_142230956.1,GENE3D,G3DSA:3.30.559.30,,Unintegrated,Unintegrated,"Nonribosomal peptide synthetase, condensation domain"
NZ_CP022310,CD934_RS01230,WP_142230956.1,GENE3D,G3DSA:2.30.38.10,,Unintegrated,Unintegrated,Luciferase; Domain 3
NZ_CP022310,CD934_RS01230,WP_142230956.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
NZ_CP022310,CD934_RS01230,WP_142230956.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
NZ_CP022310,CD934_RS01230,WP_142230956.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
NZ_CP022310,CD934_RS01230,WP_142230956.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
NZ_CP022310,CD934_RS01230,WP_142230956.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_CP022310,CD934_RS01230,WP_142230956.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_CP022310,CD934_RS01230,WP_142230956.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_CP022310,CD934_RS01230,WP_142230956.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_CP022310,CD934_RS01230,WP_142230956.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_CP022310,CD934_RS01230,WP_142230956.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_CP022310,CD934_RS01230,WP_142230956.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_CP022310,CD934_RS01230,WP_142230956.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_CP022310,CD934_RS01230,WP_142230956.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_CP022310,CD934_RS01230,WP_142230956.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,PANTHER,PTHR45527,,Unintegrated,Unintegrated,NONRIBOSOMAL PEPTIDE SYNTHETASE
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,NCBIFAM,NF003417,,Unintegrated,Unintegrated,PRK04813.1
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,CDD,cd12117,,Unintegrated,Unintegrated,A_NRPS_Srf_like
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,CDD,cd12117,,Unintegrated,Unintegrated,A_NRPS_Srf_like
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,CDD,cd19543,,Unintegrated,Unintegrated,DCL_NRPS
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,CDD,cd19543,,Unintegrated,Unintegrated,DCL_NRPS
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,CDD,cd19543,,Unintegrated,Unintegrated,DCL_NRPS
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,GENE3D,G3DSA:3.30.559.30,,Unintegrated,Unintegrated,"Nonribosomal peptide synthetase, condensation domain"
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,GENE3D,G3DSA:2.30.38.10,,Unintegrated,Unintegrated,Luciferase; Domain 3
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,GENE3D,G3DSA:3.30.559.30,,Unintegrated,Unintegrated,"Nonribosomal peptide synthetase, condensation domain"
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_JPLW01000007,ED92_RS35965,WP_037346386.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
NZ_CP070349,JVX95_RS06860,WP_211156986.1,NCBIFAM,NF045894,,Unintegrated,Unintegrated,PKS_plus_SDR
NZ_CP070349,JVX95_RS06860,WP_211156986.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
NZ_CP070349,JVX95_RS06860,WP_211156986.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
NZ_CP070349,JVX95_RS06860,WP_211156986.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
NZ_CP070349,JVX95_RS06860,WP_211156986.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
NZ_CP070349,JVX95_RS06860,WP_211156986.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
NZ_CP070349,JVX95_RS06860,WP_211156986.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
NZ_CP070349,JVX95_RS06860,WP_211156986.1,CDD,cd08955,,Unintegrated,Unintegrated,KR_2_FAS_SDR_x
NZ_CP070349,JVX95_RS06860,WP_211156986.1,CDD,cd05195,,Unintegrated,Unintegrated,enoyl_red
NZ_CP070349,JVX95_RS06860,WP_211156986.1,CDD,cd08955,,Unintegrated,Unintegrated,KR_2_FAS_SDR_x
NZ_CP070349,JVX95_RS06860,WP_211156986.1,SMART,SM00822,,Unintegrated,Unintegrated,PKS_KR
NZ_CP070349,JVX95_RS06860,WP_211156986.1,SMART,SM01294,,Unintegrated,Unintegrated,17clusters_betabranch_W
NZ_CP070349,JVX95_RS06860,WP_211156986.1,GENE3D,G3DSA:3.30.70.3290,,Unintegrated,Unintegrated,
NZ_CP070349,JVX95_RS06860,WP_211156986.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_CP070349,JVX95_RS06860,WP_211156986.1,GENE3D,G3DSA:3.90.180.10,,Unintegrated,Unintegrated,
NZ_CP070349,JVX95_RS06860,WP_211156986.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_CP070349,JVX95_RS06860,WP_211156986.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_CP070349,JVX95_RS06860,WP_211156986.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_CP070349,JVX95_RS06860,WP_211156986.1,PFAM,PF13602,,Unintegrated,Unintegrated,ADH_zinc_N_2
NZ_CP070349,JVX95_RS06860,WP_211156986.1,PFAM,PF22621,,Unintegrated,Unintegrated,CurL-like_PKS_C
NZ_CP080998,K3U96_RS24005,WP_220691299.1,NCBIFAM,NF045894,,Unintegrated,Unintegrated,PKS_plus_SDR
NZ_CP080998,K3U96_RS24005,WP_220691299.1,COILS,Coil,,Unintegrated,Unintegrated,Coil
NZ_CP080998,K3U96_RS24005,WP_220691299.1,COILS,Coil,,Unintegrated,Unintegrated,Coil
NZ_CP080998,K3U96_RS24005,WP_220691299.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
NZ_CP080998,K3U96_RS24005,WP_220691299.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
NZ_CP080998,K3U96_RS24005,WP_220691299.1,CDD,cd08952,,Unintegrated,Unintegrated,KR_1_SDR_x
NZ_CP080998,K3U96_RS24005,WP_220691299.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
NZ_CP080998,K3U96_RS24005,WP_220691299.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
NZ_CP080998,K3U96_RS24005,WP_220691299.1,CDD,cd05195,,Unintegrated,Unintegrated,enoyl_red
NZ_CP080998,K3U96_RS24005,WP_220691299.1,CDD,cd08955,,Unintegrated,Unintegrated,KR_2_FAS_SDR_x
NZ_CP080998,K3U96_RS24005,WP_220691299.1,SMART,SM00822,,Unintegrated,Unintegrated,PKS_KR
NZ_CP080998,K3U96_RS24005,WP_220691299.1,SMART,SM01294,,Unintegrated,Unintegrated,17clusters_betabranch_W
NZ_CP080998,K3U96_RS24005,WP_220691299.1,GENE3D,G3DSA:3.30.70.3290,,Unintegrated,Unintegrated,
NZ_CP080998,K3U96_RS24005,WP_220691299.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_CP080998,K3U96_RS24005,WP_220691299.1,GENE3D,G3DSA:3.90.180.10,,Unintegrated,Unintegrated,
NZ_CP080998,K3U96_RS24005,WP_220691299.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_CP080998,K3U96_RS24005,WP_220691299.1,GENE3D,G3DSA:3.40.50.11460,,Unintegrated,Unintegrated,
NZ_CP080998,K3U96_RS24005,WP_220691299.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_CP080998,K3U96_RS24005,WP_220691299.1,PFAM,PF22621,,Unintegrated,Unintegrated,CurL-like_PKS_C
NZ_CP080998,K3U96_RS24005,WP_220691299.1,PFAM,PF13602,,Unintegrated,Unintegrated,ADH_zinc_N_2
NZ_LT546237,BN4348_RS37890,WP_066911012.1,COILS,Coil,,Unintegrated,Unintegrated,Coil
NZ_LT546237,BN4348_RS37890,WP_066911012.1,NCBIFAM,NF045894,,Unintegrated,Unintegrated,PKS_plus_SDR
NZ_LT546237,BN4348_RS37890,WP_066911012.1,CDD,cd08952,,Unintegrated,Unintegrated,KR_1_SDR_x
NZ_LT546237,BN4348_RS37890,WP_066911012.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
NZ_LT546237,BN4348_RS37890,WP_066911012.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
NZ_LT546237,BN4348_RS37890,WP_066911012.1,CDD,cd08955,,Unintegrated,Unintegrated,KR_2_FAS_SDR_x
NZ_LT546237,BN4348_RS37890,WP_066911012.1,CDD,cd05195,,Unintegrated,Unintegrated,enoyl_red
NZ_LT546237,BN4348_RS37890,WP_066911012.1,SMART,SM00822,,Unintegrated,Unintegrated,PKS_KR
NZ_LT546237,BN4348_RS37890,WP_066911012.1,SMART,SM01294,,Unintegrated,Unintegrated,17clusters_betabranch_W
NZ_LT546237,BN4348_RS37890,WP_066911012.1,GENE3D,G3DSA:3.30.70.3290,,Unintegrated,Unintegrated,
NZ_LT546237,BN4348_RS37890,WP_066911012.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_LT546237,BN4348_RS37890,WP_066911012.1,GENE3D,G3DSA:3.90.180.10,,Unintegrated,Unintegrated,
NZ_LT546237,BN4348_RS37890,WP_066911012.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_LT546237,BN4348_RS37890,WP_066911012.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_LT546237,BN4348_RS37890,WP_066911012.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_LT546237,BN4348_RS37890,WP_066911012.1,PFAM,PF22621,,Unintegrated,Unintegrated,CurL-like_PKS_C
NZ_LT546237,BN4348_RS37890,WP_066911012.1,PFAM,PF13602,,Unintegrated,Unintegrated,ADH_zinc_N_2
NC_008726,MVAN_RS01375,WP_011777591.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
NC_008726,MVAN_RS01375,WP_011777591.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
NC_008726,MVAN_RS01375,WP_011777591.1,CDD,cd08952,,Unintegrated,Unintegrated,KR_1_SDR_x
NC_008726,MVAN_RS01375,WP_011777591.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
NC_008726,MVAN_RS01375,WP_011777591.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
NC_008726,MVAN_RS01375,WP_011777591.1,CDD,cd05195,,Unintegrated,Unintegrated,enoyl_red
NC_008726,MVAN_RS01375,WP_011777591.1,CDD,cd08955,,Unintegrated,Unintegrated,KR_2_FAS_SDR_x
NC_008726,MVAN_RS01375,WP_011777591.1,SMART,SM00822,,Unintegrated,Unintegrated,PKS_KR
NC_008726,MVAN_RS01375,WP_011777591.1,SMART,SM01294,,Unintegrated,Unintegrated,17clusters_betabranch_W
NC_008726,MVAN_RS01375,WP_011777591.1,GENE3D,G3DSA:3.30.70.3290,,Unintegrated,Unintegrated,
NC_008726,MVAN_RS01375,WP_011777591.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NC_008726,MVAN_RS01375,WP_011777591.1,GENE3D,G3DSA:3.90.180.10,,Unintegrated,Unintegrated,
NC_008726,MVAN_RS01375,WP_011777591.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NC_008726,MVAN_RS01375,WP_011777591.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NC_008726,MVAN_RS01375,WP_011777591.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NC_008726,MVAN_RS01375,WP_011777591.1,PFAM,PF22621,,Unintegrated,Unintegrated,CurL-like_PKS_C
NC_008726,MVAN_RS01375,WP_011777591.1,PFAM,PF13602,,Unintegrated,Unintegrated,ADH_zinc_N_2
NZ_CP060055,HZU38_RS04480,WP_235881173.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
NZ_CP060055,HZU38_RS04480,WP_235881173.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
NZ_CP060055,HZU38_RS04480,WP_235881173.1,CDD,cd08952,,Unintegrated,Unintegrated,KR_1_SDR_x
NZ_CP060055,HZU38_RS04480,WP_235881173.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
NZ_CP060055,HZU38_RS04480,WP_235881173.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
NZ_CP060055,HZU38_RS04480,WP_235881173.1,CDD,cd05195,,Unintegrated,Unintegrated,enoyl_red
NZ_CP060055,HZU38_RS04480,WP_235881173.1,CDD,cd08955,,Unintegrated,Unintegrated,KR_2_FAS_SDR_x
NZ_CP060055,HZU38_RS04480,WP_235881173.1,SMART,SM00822,,Unintegrated,Unintegrated,PKS_KR
NZ_CP060055,HZU38_RS04480,WP_235881173.1,SMART,SM01294,,Unintegrated,Unintegrated,17clusters_betabranch_W
NZ_CP060055,HZU38_RS04480,WP_235881173.1,GENE3D,G3DSA:3.30.70.3290,,Unintegrated,Unintegrated,
NZ_CP060055,HZU38_RS04480,WP_235881173.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_CP060055,HZU38_RS04480,WP_235881173.1,GENE3D,G3DSA:3.90.180.10,,Unintegrated,Unintegrated,
NZ_CP060055,HZU38_RS04480,WP_235881173.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_CP060055,HZU38_RS04480,WP_235881173.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_CP060055,HZU38_RS04480,WP_235881173.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_CP060055,HZU38_RS04480,WP_235881173.1,PFAM,PF22621,,Unintegrated,Unintegrated,CurL-like_PKS_C
NZ_CP060055,HZU38_RS04480,WP_235881173.1,PFAM,PF13602,,Unintegrated,Unintegrated,ADH_zinc_N_2
NZ_CP070380,JN090_RS18595,WP_208673199.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
NZ_CP070380,JN090_RS18595,WP_208673199.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
NZ_CP070380,JN090_RS18595,WP_208673199.1,CDD,cd08952,,Unintegrated,Unintegrated,KR_1_SDR_x
NZ_CP070380,JN090_RS18595,WP_208673199.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
NZ_CP070380,JN090_RS18595,WP_208673199.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
NZ_CP070380,JN090_RS18595,WP_208673199.1,CDD,cd05195,,Unintegrated,Unintegrated,enoyl_red
NZ_CP070380,JN090_RS18595,WP_208673199.1,CDD,cd08955,,Unintegrated,Unintegrated,KR_2_FAS_SDR_x
NZ_CP070380,JN090_RS18595,WP_208673199.1,SMART,SM00822,,Unintegrated,Unintegrated,PKS_KR
NZ_CP070380,JN090_RS18595,WP_208673199.1,SMART,SM01294,,Unintegrated,Unintegrated,17clusters_betabranch_W
NZ_CP070380,JN090_RS18595,WP_208673199.1,GENE3D,G3DSA:3.30.70.3290,,Unintegrated,Unintegrated,
NZ_CP070380,JN090_RS18595,WP_208673199.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_CP070380,JN090_RS18595,WP_208673199.1,GENE3D,G3DSA:3.90.180.10,,Unintegrated,Unintegrated,
NZ_CP070380,JN090_RS18595,WP_208673199.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_CP070380,JN090_RS18595,WP_208673199.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_CP070380,JN090_RS18595,WP_208673199.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_CP070380,JN090_RS18595,WP_208673199.1,PFAM,PF22621,,Unintegrated,Unintegrated,CurL-like_PKS_C
NZ_CP070380,JN090_RS18595,WP_208673199.1,PFAM,PF13602,,Unintegrated,Unintegrated,ADH_zinc_N_2
NZ_CP082189,JN084_RS01210,WP_222883632.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
NZ_CP082189,JN084_RS01210,WP_222883632.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
NZ_CP082189,JN084_RS01210,WP_222883632.1,CDD,cd08952,,Unintegrated,Unintegrated,KR_1_SDR_x
NZ_CP082189,JN084_RS01210,WP_222883632.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
NZ_CP082189,JN084_RS01210,WP_222883632.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
NZ_CP082189,JN084_RS01210,WP_222883632.1,CDD,cd05195,,Unintegrated,Unintegrated,enoyl_red
NZ_CP082189,JN084_RS01210,WP_222883632.1,CDD,cd08955,,Unintegrated,Unintegrated,KR_2_FAS_SDR_x
NZ_CP082189,JN084_RS01210,WP_222883632.1,SMART,SM00822,,Unintegrated,Unintegrated,PKS_KR
NZ_CP082189,JN084_RS01210,WP_222883632.1,SMART,SM01294,,Unintegrated,Unintegrated,17clusters_betabranch_W
NZ_CP082189,JN084_RS01210,WP_222883632.1,GENE3D,G3DSA:3.30.70.3290,,Unintegrated,Unintegrated,
NZ_CP082189,JN084_RS01210,WP_222883632.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_CP082189,JN084_RS01210,WP_222883632.1,GENE3D,G3DSA:3.90.180.10,,Unintegrated,Unintegrated,
NZ_CP082189,JN084_RS01210,WP_222883632.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
NZ_CP082189,JN084_RS01210,WP_222883632.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
