Sequence Name,Accession,InterPro ID,InterPro Name,Name
NC_012997,WP_015818150.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_013422,WP_012823834.1,"[nan, nan, 'IPR003347', 'IPR003347', 'IPR014710', 'IPR041667']",Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-RmlC-like_jellyroll-Cupin_8,"['HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Jelly Rolls', 'Cupin_8']"
NC_014145,WP_013106347.1,"[nan, nan, nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'disorder_prediction', 'disorder_prediction', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_014228,WP_010846017.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_014230,WP_013186529.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_014313,WP_013215366.1,"[nan, nan, nan, nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'Non cytoplasmic domain', 'Transmembrane region', 'Cytoplasmic domain', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_014623,WP_002617302.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_015144,WP_013598668.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_015376,WP_013690410.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_015381,WP_013697623.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_015711,WP_013940228.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_015844,WP_013993410.1,"[nan, nan, nan, 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'Cupin_8']"
NC_016112,WP_014148012.1,"[nan, nan, nan, 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'Cupin_8']"
NC_017030,WP_014393752.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_017464,WP_014561331.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_018013,WP_014781671.1,"[nan, nan, nan, 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'Cupin_8']"
NC_018721,WP_015023866.1,"[nan, nan, nan, 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'Cupin_8']"
NC_019757,WP_015207074.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_019757,WP_015209735.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_021591,WP_004944602.1,"[nan, nan, 'IPR041667', 'IPR050910']",Unintegrated-Unintegrated-Cupin_8-JMJD6_ArgDemeth/LysHydrox,"['Cupin', 'Clavaminate synthase-like', 'Cupin_8', 'ARGININE DEMETHYLASE AND LYSYL-HYDROXYLASE JMJD']"
NC_021658,WP_080682627.1,"[nan, nan, nan, 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'Cupin_8']"
NC_021884,WP_004192781.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_ALVU02000001,WP_009630726.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AP014548,WP_041495419.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AP014623,WP_096374551.1,"[nan, nan, nan]",Unintegrated-Unintegrated-Unintegrated,"['Isoprenoid_Biosyn_C1', 'Cupin', 'Clavaminate synthase-like']"
NZ_AP018174,WP_096576682.1,"[nan, nan, nan, nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667', 'IPR050910']",Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8-JMJD6_ArgDemeth/LysHydrox,"['Cupin', 'Clavaminate synthase-like', 'unknown', 'Cytoplasmic domain', 'Transmembrane region', 'Non cytoplasmic domain', 'JMJC', 'cupin_9', 'Cupin_8', 'ARGININE DEMETHYLASE AND LYSYL-HYDROXYLASE JMJD']"
NZ_AP018178,WP_096600705.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AP018178,WP_096600968.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AP018178,WP_096604109.1,"[nan, nan, 'IPR003347', 'IPR003347', 'IPR014710', 'IPR041667']",Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-RmlC-like_jellyroll-Cupin_8,"['HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Jelly Rolls', 'Cupin_8']"
NZ_AP018207,WP_096647144.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AP018222,WP_096539284.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AP018222,WP_096534111.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AP018222,WP_096534118.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AP018223,WP_096541568.1,"[nan, nan, nan, 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'Cupin_8']"
NZ_AP018248,WP_096577815.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AP018265,WP_096560966.1,"[nan, nan, nan, 'IPR003347', 'IPR014710', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-RmlC-like_jellyroll-Cupin_8,"['cupin_RmlC-like', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'Jelly Rolls', 'Cupin_8']"
NZ_AP018268,WP_096562227.1,"[nan, nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['cupin_RmlC-like', 'Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AP018281,WP_096718444.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AP018288,WP_096559395.1,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667', 'IPR050910']",Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8-JMJD6_ArgDemeth/LysHydrox,"['Cupin', 'Clavaminate synthase-like', 'unknown', 'unknown', 'Cytoplasmic domain', 'Transmembrane region', 'Transmembrane region', 'Non cytoplasmic domain', 'Non cytoplasmic domain', 'JMJC', 'cupin_9', 'Cupin_8', 'ARGININE DEMETHYLASE AND LYSYL-HYDROXYLASE JMJD']"
NZ_AP018299,WP_096679478.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AP021846,WP_152085599.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AP021846,WP_152085609.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AP022332,WP_161913557.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AP022583,WP_083089918.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AP022591,WP_165757362.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AP023348,WP_203650143.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AP024087,WP_200767166.1,"[nan, nan, nan, nan, nan, nan, 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'Cytoplasmic domain', 'Transmembrane region', 'Non cytoplasmic domain', 'JMJC', 'Cupin_8']"
NZ_AP025018,WP_224178277.1,"[nan, nan, nan, nan, nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'unknown', 'Non cytoplasmic domain', 'Transmembrane region', 'Cytoplasmic domain', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AP025018,WP_224174959.1,"[nan, nan, nan, nan, nan, nan, 'IPR003347', 'IPR014710', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-JmjC_dom-RmlC-like_jellyroll-Cupin_8,"['cupin_RmlC-like', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'Non cytoplasmic domain', 'Transmembrane region', 'Cytoplasmic domain', 'JMJC', 'Jelly Rolls', 'Cupin_8']"
NZ_AP025147,WP_126610310.1,"[nan, nan, nan, nan, nan, nan, nan, 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'unknown', 'Cytoplasmic domain', 'Transmembrane region', 'Non cytoplasmic domain', 'JMJC', 'Cupin_8']"
NZ_AUAX01000002,WP_051366068.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AUBG01000010,WP_026450840.1,"[nan, nan, nan, 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'Cupin_8']"
NZ_AUGB01000003,WP_028885285.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_AZUO01000002,WP_024881758.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_BDUC01000003,WP_089128076.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NZ_BFAQ01000009,WP_104399029.1,"[nan, nan, nan, nan, nan, nan, nan, 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'unknown', 'Cytoplasmic domain', 'Transmembrane region', 'Non cytoplasmic domain', 'JMJC', 'Cupin_8']"
NZ_BMGL01000007,WP_188406053.1,"[nan, nan, nan, 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'Cupin_8']"
NZ_BMGM01000005,WP_188458400.1,"[nan, nan, nan, 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'Cupin_8']"
NZ_BMJC01000005,WP_188936184.1,"[nan, nan, nan, 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'Cupin_8']"
NZ_BMNE01000005,WP_189032067.1,"[nan, nan, nan, 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'Cupin_8']"
NZ_BMXA01000004,WP_229794283.1,"[nan, nan, nan, 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'Cupin_8']"
