Name,Accession,Database,Id,InterPro ID,InterPro Name,InterPro Type,Name
CurL-like_PKS_C,WP_013915596.1,PFAM,PF22621,,Unintegrated,Unintegrated,CurL-like_PKS_C
PKS,WP_014369465.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
PKS,WP_014369465.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
KR_2_SDR_x,WP_014369465.1,CDD,cd08953,,Unintegrated,Unintegrated,KR_2_SDR_x
AdoMet_MTases,WP_014369465.1,CDD,cd02440,,Unintegrated,Unintegrated,AdoMet_MTases
disorder_prediction,WP_014369465.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,WP_014369465.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,WP_014369465.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,WP_014369465.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
17clusters_betabranch_W,WP_014369465.1,SMART,SM01294,,Unintegrated,Unintegrated,17clusters_betabranch_W
PKS_KR,WP_014369465.1,SMART,SM00822,,Unintegrated,Unintegrated,PKS_KR
CurL-like_PKS_C,WP_014369465.1,PFAM,PF22621,,Unintegrated,Unintegrated,CurL-like_PKS_C
,WP_014369465.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
,WP_014369465.1,GENE3D,G3DSA:3.30.70.3290,,Unintegrated,Unintegrated,
,WP_014369465.1,GENE3D,G3DSA:1.10.1240.100,,Unintegrated,Unintegrated,
,WP_014369465.1,GENE3D,G3DSA:1.10.1240.100,,Unintegrated,Unintegrated,
HTH_TipAL-Mta,WP_014984241.1,CDD,cd01106,,Unintegrated,Unintegrated,HTH_TipAL-Mta
Coil,WP_014984241.1,COILS,Coil,,Unintegrated,Unintegrated,Coil
,WP_014984241.1,GENE3D,G3DSA:1.10.1660.10,,Unintegrated,Unintegrated,
disorder_prediction,WP_014984241.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,WP_014984241.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
Sigma70_r4,WP_020739607.1,CDD,cd06171,,Unintegrated,Unintegrated,Sigma70_r4
disorder_prediction,WP_020739607.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,WP_020739607.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
,WP_020739607.1,GENE3D,G3DSA:3.10.450.50,,Unintegrated,Unintegrated,
,WP_020739607.1,GENE3D,G3DSA:1.10.1740.10,,Unintegrated,Unintegrated,
PRK08241.1,WP_020739607.1,NCBIFAM,NF006089,,Unintegrated,Unintegrated,PRK08241.1
FliY_FliN-Y,WP_031504466.1,CDD,cd17907,,Unintegrated,Unintegrated,FliY_FliN-Y
PKS,XP_014540705.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
,XP_014540705.1,GENE3D,G3DSA:3.30.70.3290,,Unintegrated,Unintegrated,
CurL-like_PKS_C,XP_014540705.1,PFAM,PF22621,,Unintegrated,Unintegrated,CurL-like_PKS_C
disorder_prediction,XP_018063713.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
PERMEASE-RELATED,XP_018063713.1,PANTHER,PTHR43791,,Unintegrated,Unintegrated,PERMEASE-RELATED
unknown,XP_018063713.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
unknown,XP_018063713.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
unknown,XP_018063713.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
unknown,XP_018063713.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
unknown,XP_018063713.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
unknown,XP_018063713.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
unknown,XP_018063713.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
unknown,XP_018063713.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
unknown,XP_018063713.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
unknown,XP_018063713.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
unknown,XP_018063713.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Cytoplasmic domain,XP_018063713.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cytoplasmic domain,XP_018063713.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cytoplasmic domain,XP_018063713.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Transmembrane region,XP_018063713.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Transmembrane region,XP_018063713.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Transmembrane region,XP_018063713.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Transmembrane region,XP_018063713.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Transmembrane region,XP_018063713.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Transmembrane region,XP_018063713.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Transmembrane region,XP_018063713.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Transmembrane region,XP_018063713.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Transmembrane region,XP_018063713.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Transmembrane region,XP_018063713.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Transmembrane region,XP_018063713.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Transmembrane region,XP_018063713.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Non cytoplasmic domain,XP_018063713.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Cytoplasmic domain,XP_018063713.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cytoplasmic domain,XP_018063713.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Non cytoplasmic domain,XP_018063713.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Non cytoplasmic domain,XP_018063713.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Non cytoplasmic domain,XP_018063713.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Cytoplasmic domain,XP_018063713.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cytoplasmic domain,XP_018063713.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Non cytoplasmic domain,XP_018063713.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Non cytoplasmic domain,XP_018063713.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
unknown,XP_025381534.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
unknown,XP_025381534.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
unknown,XP_025381534.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
unknown,XP_025381534.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Non cytoplasmic domain,XP_025381534.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,XP_025381534.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Transmembrane region,XP_025381534.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Transmembrane region,XP_025381534.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Non cytoplasmic domain,XP_025381534.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,XP_025381534.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Cytoplasmic domain,XP_025381534.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cytoplasmic domain,XP_025381534.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Non cytoplasmic domain,XP_025381534.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
disorder_prediction,XP_025381534.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,XP_025381534.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,XP_025381534.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,XP_025381534.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,XP_025381534.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,XP_025381534.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,XP_025381534.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,XP_025381534.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,XP_025381534.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,XP_025381534.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,XP_025381534.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,XP_025381534.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,XP_025381534.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,XP_025381534.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
,WP_203960081.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
PRK12826.1-2,WP_203960081.1,NCBIFAM,NF009466,,Unintegrated,Unintegrated,PRK12826.1-2
PKS_KR,WP_203960081.1,SMART,SM00822,,Unintegrated,Unintegrated,PKS_KR
REC_NarL-like,WP_221322574.1,CDD,cd17535,,Unintegrated,Unintegrated,REC_NarL-like
,WP_221322574.1,GENE3D,G3DSA:3.40.50.2300,,Unintegrated,Unintegrated,
Coil,WP_027191627.1,COILS,Coil,,Unintegrated,Unintegrated,Coil
"Glutamine synthetase/guanido kinase, catalytic domain",WP_027191627.1,GENE3D,G3DSA:3.30.590.10,,Unintegrated,Unintegrated,"Glutamine synthetase/guanido kinase, catalytic domain"
,WP_027191627.1,GENE3D,G3DSA:1.20.120.1560,,Unintegrated,Unintegrated,
ATP-DEPENDENT RNA HELICASE,WP_062429605.1,PANTHER,PTHR18934,,Unintegrated,Unintegrated,ATP-DEPENDENT RNA HELICASE
DEXHc_HrpA,WP_062429605.1,CDD,cd17989,,Unintegrated,Unintegrated,DEXHc_HrpA
SF2_C_RHA,WP_062429605.1,CDD,cd18791,,Unintegrated,Unintegrated,SF2_C_RHA
PRK11131.1,WP_062429605.1,NCBIFAM,NF008348,,Unintegrated,Unintegrated,PRK11131.1
,WP_062429605.1,GENE3D,G3DSA:1.20.120.1080,,Unintegrated,Unintegrated,
HA2_C,WP_062429605.1,PFAM,PF21010,,Unintegrated,Unintegrated,HA2_C
init_cond_enzymes,WP_190115156.1,CDD,cd00827,,Unintegrated,Unintegrated,init_cond_enzymes
3-HYDROXY-3-METHYLGLUTARYL COENZYME A SYNTHASE,WP_190115156.1,PANTHER,PTHR43323,,Unintegrated,Unintegrated,3-HYDROXY-3-METHYLGLUTARYL COENZYME A SYNTHASE
,WP_190115189.1,GENE3D,G3DSA:3.40.50.2300,,Unintegrated,Unintegrated,
REC_NarL-like,WP_190115189.1,CDD,cd17535,,Unintegrated,Unintegrated,REC_NarL-like
cupin_pirin_N,WP_024483887.1,CDD,cd02909,,Unintegrated,Unintegrated,cupin_pirin_N
cupin_pirin_C,WP_024483887.1,CDD,cd02247,,Unintegrated,Unintegrated,cupin_pirin_C
cupin_pirin_N,WP_261261867.1,CDD,cd02909,,Unintegrated,Unintegrated,cupin_pirin_N
cupin_pirin_C,WP_261261867.1,CDD,cd02247,,Unintegrated,Unintegrated,cupin_pirin_C
cupin_pirin_N,WP_024483887.1,CDD,cd02909,,Unintegrated,Unintegrated,cupin_pirin_N
cupin_pirin_C,WP_024483887.1,CDD,cd02247,,Unintegrated,Unintegrated,cupin_pirin_C
N-ACYL-PHOSPHATIDYLETHANOLAMINE-HYDROLYZING PHOSPHOLIPASE D,WP_197083291.1,PANTHER,PTHR15032,,Unintegrated,Unintegrated,N-ACYL-PHOSPHATIDYLETHANOLAMINE-HYDROLYZING PHOSPHOLIPASE D
ABCD_peroxisomal_ALDP,WP_003262328.1,CDD,cd03223,,Unintegrated,Unintegrated,ABCD_peroxisomal_ALDP
unknown,WP_003262328.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
unknown,WP_003262328.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
unknown,WP_003262328.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
unknown,WP_003262328.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
unknown,WP_003262328.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Cytoplasmic domain,WP_003262328.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cytoplasmic domain,WP_003262328.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cytoplasmic domain,WP_003262328.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Non cytoplasmic domain,WP_003262328.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,WP_003262328.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Transmembrane region,WP_003262328.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Transmembrane region,WP_003262328.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Non cytoplasmic domain,WP_003262328.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,WP_003262328.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
NONRIBOSOMAL PEPTIDE SYNTHETASE,WP_003335759.1,PANTHER,PTHR45527,,Unintegrated,Unintegrated,NONRIBOSOMAL PEPTIDE SYNTHETASE
Coil,WP_003335759.1,COILS,Coil,,Unintegrated,Unintegrated,Coil
Coil,WP_003335759.1,COILS,Coil,,Unintegrated,Unintegrated,Coil
PRK04813.1,WP_003335759.1,NCBIFAM,NF003417,,Unintegrated,Unintegrated,PRK04813.1
A_NRPS,WP_003335759.1,CDD,cd05930,,Unintegrated,Unintegrated,A_NRPS
A_NRPS,WP_003335759.1,CDD,cd05930,,Unintegrated,Unintegrated,A_NRPS
LCL_NRPS-like,WP_003335759.1,CDD,cd19531,,Unintegrated,Unintegrated,LCL_NRPS-like
Acetyl-CoA synthetase-like,WP_003335759.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
Acetyl-CoA synthetase-like,WP_003335759.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
CoA-dependent acyltransferases,WP_003335759.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,WP_003335759.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,WP_003335759.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,WP_003335759.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
,WP_003335759.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
"Nonribosomal peptide synthetase, condensation domain",WP_003335759.1,GENE3D,G3DSA:3.30.559.30,,Unintegrated,Unintegrated,"Nonribosomal peptide synthetase, condensation domain"
,WP_003335759.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
Luciferase; Domain 3,WP_003335759.1,GENE3D,G3DSA:2.30.38.10,,Unintegrated,Unintegrated,Luciferase; Domain 3
Helix hairpin bin,WP_003335759.1,GENE3D,G3DSA:1.10.287.490,,Unintegrated,Unintegrated,Helix hairpin bin
GAF domain-like,WP_169833168.1,SUPERFAMILY,SSF55781,,Unintegrated,Unintegrated,GAF domain-like
SignalP-noTM,WP_068399842.1,SIGNALP_EUK,SignalP-noTM,,Unintegrated,Unintegrated,SignalP-noTM
Non cytoplasmic domain,WP_068399842.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Signal Peptide,WP_068399842.1,PHOBIUS,SIGNAL_PEPTIDE,,Unintegrated,Unintegrated,Signal Peptide
Signal peptide H-region,WP_068399842.1,PHOBIUS,SIGNAL_PEPTIDE_H_REGION,,Unintegrated,Unintegrated,Signal peptide H-region
Signal peptide N-region,WP_068399842.1,PHOBIUS,SIGNAL_PEPTIDE_N_REGION,,Unintegrated,Unintegrated,Signal peptide N-region
Signal peptide C-region,WP_068399842.1,PHOBIUS,SIGNAL_PEPTIDE_C_REGION,,Unintegrated,Unintegrated,Signal peptide C-region
NONRIBOSOMAL PEPTIDE SYNTHETASE,WP_052961099.1,PANTHER,PTHR45527,,Unintegrated,Unintegrated,NONRIBOSOMAL PEPTIDE SYNTHETASE
PRK04813.1,WP_052961099.1,NCBIFAM,NF003417,,Unintegrated,Unintegrated,PRK04813.1
A_NRPS,WP_052961099.1,CDD,cd05930,,Unintegrated,Unintegrated,A_NRPS
A_NRPS_Ta1_like,WP_052961099.1,CDD,cd12116,,Unintegrated,Unintegrated,A_NRPS_Ta1_like
LCL_NRPS-like,WP_052961099.1,CDD,cd19531,,Unintegrated,Unintegrated,LCL_NRPS-like
E-C_NRPS,WP_052961099.1,CDD,cd19544,,Unintegrated,Unintegrated,E-C_NRPS
Acetyl-CoA synthetase-like,WP_052961099.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
Acetyl-CoA synthetase-like,WP_052961099.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
CoA-dependent acyltransferases,WP_052961099.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,WP_052961099.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,WP_052961099.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,WP_052961099.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
,WP_052961099.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
,WP_052961099.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
"Nonribosomal peptide synthetase, condensation domain",WP_052961099.1,GENE3D,G3DSA:3.30.559.30,,Unintegrated,Unintegrated,"Nonribosomal peptide synthetase, condensation domain"
"Nonribosomal peptide synthetase, condensation domain",WP_052961099.1,GENE3D,G3DSA:3.30.559.30,,Unintegrated,Unintegrated,"Nonribosomal peptide synthetase, condensation domain"
Luciferase; Domain 3,WP_052961099.1,GENE3D,G3DSA:2.30.38.10,,Unintegrated,Unintegrated,Luciferase; Domain 3
Luciferase; Domain 3,WP_052961099.1,GENE3D,G3DSA:2.30.38.10,,Unintegrated,Unintegrated,Luciferase; Domain 3
NONRIBOSOMAL PEPTIDE SYNTHETASE,WP_018670344.1,PANTHER,PTHR45527,,Unintegrated,Unintegrated,NONRIBOSOMAL PEPTIDE SYNTHETASE
Coil,WP_018670344.1,COILS,Coil,,Unintegrated,Unintegrated,Coil
Coil,WP_018670344.1,COILS,Coil,,Unintegrated,Unintegrated,Coil
PRK04813.1,WP_018670344.1,NCBIFAM,NF003417,,Unintegrated,Unintegrated,PRK04813.1
A_NRPS,WP_018670344.1,CDD,cd05930,,Unintegrated,Unintegrated,A_NRPS
A_NRPS,WP_018670344.1,CDD,cd05930,,Unintegrated,Unintegrated,A_NRPS
LCL_NRPS-like,WP_018670344.1,CDD,cd19531,,Unintegrated,Unintegrated,LCL_NRPS-like
Acetyl-CoA synthetase-like,WP_018670344.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
Acetyl-CoA synthetase-like,WP_018670344.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
CoA-dependent acyltransferases,WP_018670344.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,WP_018670344.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,WP_018670344.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,WP_018670344.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
,WP_018670344.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
,WP_018670344.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
Luciferase; Domain 3,WP_018670344.1,GENE3D,G3DSA:2.30.38.10,,Unintegrated,Unintegrated,Luciferase; Domain 3
"Nonribosomal peptide synthetase, condensation domain",WP_018670344.1,GENE3D,G3DSA:3.30.559.30,,Unintegrated,Unintegrated,"Nonribosomal peptide synthetase, condensation domain"
"Nonribosomal peptide synthetase, condensation domain",WP_018670344.1,GENE3D,G3DSA:3.30.559.30,,Unintegrated,Unintegrated,"Nonribosomal peptide synthetase, condensation domain"
Helix hairpin bin,WP_018670344.1,GENE3D,G3DSA:1.10.287.490,,Unintegrated,Unintegrated,Helix hairpin bin
Glyco_tranf_GTA_type,WP_086159750.1,CDD,cd00761,,Unintegrated,Unintegrated,Glyco_tranf_GTA_type
GLYCOSYLTRANSFERASE,WP_086159750.1,PANTHER,PTHR22916,,Unintegrated,Unintegrated,GLYCOSYLTRANSFERASE
HTH_TipAL-Mta,WP_042255560.1,CDD,cd01106,,Unintegrated,Unintegrated,HTH_TipAL-Mta
Coil,WP_042255560.1,COILS,Coil,,Unintegrated,Unintegrated,Coil
,WP_042255560.1,GENE3D,G3DSA:1.10.1660.10,,Unintegrated,Unintegrated,
disorder_prediction,WP_042255560.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,WP_042255560.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
KR_1_SDR_x,WP_157734714.1,CDD,cd08952,,Unintegrated,Unintegrated,KR_1_SDR_x
disorder_prediction,WP_157734714.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,WP_157734714.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,WP_157734714.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
,WP_157734714.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
,WP_157734714.1,GENE3D,G3DSA:3.30.70.3290,,Unintegrated,Unintegrated,
PKS_KR,WP_157734714.1,SMART,SM00822,,Unintegrated,Unintegrated,PKS_KR
17clusters_betabranch_W,WP_157734714.1,SMART,SM01294,,Unintegrated,Unintegrated,17clusters_betabranch_W
NONRIBOSOMAL PEPTIDE SYNTHETASE,WP_101668611.1,PANTHER,PTHR45527,,Unintegrated,Unintegrated,NONRIBOSOMAL PEPTIDE SYNTHETASE
Coil,WP_101668611.1,COILS,Coil,,Unintegrated,Unintegrated,Coil
Coil,WP_101668611.1,COILS,Coil,,Unintegrated,Unintegrated,Coil
PRK04813.1,WP_101668611.1,NCBIFAM,NF003417,,Unintegrated,Unintegrated,PRK04813.1
A_NRPS,WP_101668611.1,CDD,cd05930,,Unintegrated,Unintegrated,A_NRPS
A_NRPS,WP_101668611.1,CDD,cd05930,,Unintegrated,Unintegrated,A_NRPS
