Accession	Organism	TaxID	Taxonomic_Lineage
WP_011874512.1	  Saccharopolyspora	1835	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Pseudonocardiales; Pseudonocardiaceae
WP_012007448.1	  Prochlorococcus marinus	1219	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae; Prochlorococcus
WP_012157089.1	  Shewanella pealeana	70864	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella
WP_012166211.1	  Acaryochloris marina	155978	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Acaryochloridales; Acaryochloridaceae; Acaryochloris
WP_012239911.1	  Sorangium cellulosum	56	cellular organisms; Bacteria; Pseudomonadati; Myxococcota; Polyangia; Polyangiales; Polyangiaceae; Sorangium
WP_012265829.1	  Microcystis aeruginosa	1126	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Microcystaceae; Microcystis
WP_041804082.1	  Microcystis aeruginosa	1126	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Microcystaceae; Microcystis
WP_049763900.1	  Shewanella halifaxensis	271098	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella
WP_012327181.1	  Shewanella woodyi	60961	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella
WP_012337444.1	  Burkholderia cepacia complex	87882	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia
WP_012337446.1	  Burkholderia cepacia complex	87882	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia
WP_009545080.1	  Crocosphaera subtropica	2546360	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Aphanothecaceae; Crocosphaera
WP_012366941.1	  Burkholderia ambifaria	152480	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex
WP_012366943.1	  Burkholderia	32008	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae
WP_012395255.1	  Mycobacterium marinum	1781	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium ulcerans group
WP_012400117.1	  Paraburkholderia phymatum	148447	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia
WP_011270075.1	  Xanthomonas campestris	339	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae; Xanthomonas
WP_016944515.1	  Xanthomonas	338	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae
WP_012213630.1	  Burkholderia multivorans	87883	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex
WP_012481596.1	  Stenotrophomonas maltophilia	40324	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae; Stenotrophomonas; Stenotrophomonas maltophilia group
WP_012488578.1	  Cellvibrio japonicus	155077	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Cellvibrionaceae; Cellvibrio
WP_012512465.1	  Stenotrophomonas maltophilia	40324	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae; Stenotrophomonas; Stenotrophomonas maltophilia group
WP_012533716.1	  Aliivibrio fischeri	668	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Aliivibrio
WP_009566700.1	  Acidithiobacillus	119977	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Acidithiobacillia; Acidithiobacillales; Acidithiobacillaceae
WP_009566700.1	  Acidithiobacillus	119977	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Acidithiobacillia; Acidithiobacillales; Acidithiobacillaceae
WP_003097592.1	  Pseudomonas	286	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae
WP_003097588.1	  Pseudomonas	286	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae
WP_012676283.1	  Persephonella	182899	cellular organisms; Bacteria; Pseudomonadati; Aquificota; Aquificia; Aquificales; Hydrogenothermaceae
WP_226376635.1	  Musicola paradisiaca	69223	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Pectobacteriaceae; Musicola
WP_015817251.1	  Teredinibacter turnerae	2426	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Cellvibrionaceae; Teredinibacter
WP_015818892.1	  Teredinibacter turnerae	2426	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Cellvibrionaceae; Teredinibacter
WP_015800905.1	  Actinosynnema mirum	40567	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Pseudonocardiales; Pseudonocardiaceae; Actinosynnema
WP_015801984.1	  Actinosynnema mirum	40567	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Pseudonocardiales; Pseudonocardiaceae; Actinosynnema
WP_041541692.1	  Catenulispora acidiphila	304895	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Catenulisporales; Catenulisporaceae; Catenulispora
WP_015792186.1	  Catenulispora acidiphila	304895	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Catenulisporales; Catenulisporaceae; Catenulispora
WP_015794936.1	  Catenulispora acidiphila	304895	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Catenulisporales; Catenulisporaceae; Catenulispora
WP_015781597.1	  Kangiella koreensis	261964	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Kangiellales; Kangiellaceae; Kangiella
WP_012825083.1	  Halothiobacillus neapolitanus	927	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Chromatiales; Halothiobacillaceae; Halothiobacillus
WP_012826476.1	  Haliangium ochraceum	80816	cellular organisms; Bacteria; Pseudomonadati; Myxococcota; Polyangia; Haliangiales; Kofleriaceae; Haliangium
WP_012857875.1	  Sulfurospirillum deleyianum	65553	cellular organisms; Bacteria; Pseudomonadati; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Sulfurospirillaceae; Sulfurospirillum
WP_012890807.1	  Streptosporangium roseum	2001	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Streptosporangiales; Streptosporangiaceae; Streptosporangium
WP_013053364.1	  Shewanella violacea	60217	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella
WP_013106520.1	  Thiomonas arsenitoxydans	426114	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiales genera incertae sedis; Thiomonas
WP_013186549.1	  Croceibacter atlanticus	313588	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Croceibacter
WP_013215362.1	  Hyphomicrobium denitrificans	53399	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Hyphomicrobium
WP_013321927.1	  Gloeothece verrucosa	2546359	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Aphanothecaceae; Gloeothece
WP_013334440.1	  Gloeothece verrucosa	2546359	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Aphanothecaceae; Gloeothece
WP_013334441.1	  Gloeothece verrucosa	2546359	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Aphanothecaceae; Gloeothece
WP_013334442.1	  Gloeothece verrucosa	2546359	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Aphanothecaceae; Gloeothece
WP_013334619.1	  Gloeothece verrucosa	2546359	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Aphanothecaceae; Gloeothece
WP_041764189.1	  Pseudoxanthomonas suwonensis	314722	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae; Pseudoxanthomonas
WP_013538734.1	  Variovorax paradoxus	34073	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae; Variovorax
WP_013629467.1	  Rubinisphaera brasiliensis	119	cellular organisms; Bacteria; Pseudomonadati; PVC group; Planctomycetota; Planctomycetia; Planctomycetales; Planctomycetaceae; Rubinisphaera
WP_013629468.1	  Rubinisphaera brasiliensis	119	cellular organisms; Bacteria; Pseudomonadati; PVC group; Planctomycetota; Planctomycetia; Planctomycetales; Planctomycetaceae; Rubinisphaera
WP_013663191.1	  Marinomonas mediterranea	119864	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Marinomonas
WP_013663195.1	  Marinomonas mediterranea	119864	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Marinomonas
WP_013686190.1	  Fluviicola taffensis	191579	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Crocinitomicaceae; Fluviicola
WP_013689040.1	  Burkholderia	32008	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae
WP_013814511.1	  Serratia	613	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae
WP_013814513.1	  Serratia	613	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae
WP_013817053.1	  Methylomonas methanica	421	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylomonas
WP_013820756.1	  Methylomonas methanica	421	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylomonas
WP_083843809.1	  Microlunatus phosphovorus	29405	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae; Microlunatus
WP_049871196.1	  Ramlibacter tataouinensis	94132	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae; Ramlibacter
WP_049871198.1	  Ramlibacter tataouinensis	94132	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae; Ramlibacter
WP_014030155.1	  Acidithiobacillus ferrivorans	160808	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Acidithiobacillia; Acidithiobacillales; Acidithiobacillaceae; Acidithiobacillus
WP_014038928.1	  Stenotrophomonas	40323	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae
WP_014050060.1	  unclassified Streptomyces	2593676	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces
WP_014057731.1	  Streptomyces violaceusniger	68280	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; Streptomyces violaceusniger group
WP_014091383.1	  Xanthomonas euvesicatoria	456327	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae; Xanthomonas
WP_014091388.1	  Xanthomonas	338	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae
WP_014136892.1	  Kitasatospora	2063	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae
WP_043290766.1	  Pseudoxanthomonas spadix	415229	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae; Pseudoxanthomonas
WP_043291479.1	  Pseudoxanthomonas spadix	415229	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae; Pseudoxanthomonas
WP_043488723.1	  Streptomyces	1883	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae
WP_253946905.1	  Mycolicibacterium rhodesiae	36814	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium
WP_006085195.1	  Shewanella baltica	62322	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella
WP_014359960.1	  Gordonia polyisoprenivorans	84595	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Gordoniaceae; Gordonia
WP_014360004.1	  Gordonia polyisoprenivorans	84595	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Gordoniaceae; Gordonia
WP_014443358.1	  Actinoplanes missouriensis	1866	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Actinoplanes
WP_041183032.1	  Xanthomonas oryzae	347	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae; Xanthomonas
WP_014501634.1	  Xanthomonas oryzae	347	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae; Xanthomonas
WP_014506150.1	  Xanthomonas	338	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae
WP_014506161.1	  Xanthomonas campestris	339	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae; Xanthomonas
WP_003097592.1	  Pseudomonas	286	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae
WP_003097588.1	  Pseudomonas	286	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae
WP_014648840.1	  Stenotrophomonas	40323	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae
WP_014693103.1	  unclassified Actinoplanes	2626549	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Actinoplanes
WP_014693105.1	  unclassified Actinoplanes	2626549	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Actinoplanes
WP_014744116.1	  Tistrella mobilis	171437	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Geminicoccales; Geminicoccaceae; Tistrella
WP_014817537.1	  Mycolicibacterium chubuense	1800	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium
WP_014851451.1	  Stutzerimonas nitrititolerans	2482751	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Stutzerimonas
WP_014884437.1	  Enterobacter cloacae complex	354276	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter
WP_014984577.1	  Nocardia brasiliensis	37326	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Nocardia
WP_014987664.1	  Nocardia brasiliensis	37326	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Nocardia
WP_015031693.1	  Streptomyces	1883	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae
WP_015031694.1	  Streptomyces	1883	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae
WP_015032134.1	  Streptomyces	1883	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae
WP_015037410.1	  Streptomyces	1883	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae
WP_015079725.1	  Nostocales	1161	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae
WP_015093155.1	  Pseudomonas sp. UW4	1207075	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; unclassified Pseudomonas
WP_231905293.1	  Saccharothrix espanaensis	103731	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Pseudonocardiales; Pseudonocardiaceae; Saccharothrix
WP_015100660.1	  Saccharothrix espanaensis	103731	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Pseudonocardiales; Pseudonocardiaceae; Saccharothrix
WP_015137080.1	  Nostoc sp. PCC 7524	28072	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Nostoc; unclassified Nostoc
WP_015155646.1	  Chroococcidiopsis	54298	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Chroococcidiopsidales; Chroococcidiopsidaceae
WP_015209727.1	  Cylindrospermum stagnale	142864	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Cylindrospermum
WP_015209728.1	  Cylindrospermum stagnale	142864	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Cylindrospermum
WP_015278364.1	  Stutzerimonas stutzeri	316	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Stutzerimonas; Stutzerimonas stutzeri group; Stutzerimonas stutzeri subgroup
WP_015672691.1	  Serratia sp. FGI94	671990	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia; unclassified Serratia (in: enterobacteria)
WP_015672693.1	  Serratia sp. FGI94	671990	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia; unclassified Serratia (in: enterobacteria)
WP_015348860.1	  Myxococcus stipitatus	83455	cellular organisms; Bacteria; Pseudomonadati; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus
WP_015348866.1	  Myxococcus stipitatus	83455	cellular organisms; Bacteria; Pseudomonadati; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus
WP_238559410.1	  Mycobacterium liflandii	261524	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium ulcerans group
WP_015373589.1	  Pseudomonas	286	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae
