Name,Sequence Name,Locustag,Accession,Database,Id,InterPro ID,InterPro Name,InterPro Type,Name
Non cytoplasmic domain,NC_013422,HNEAP_RS11155,WP_012825083.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Cytoplasmic domain,NC_013422,HNEAP_RS11155,WP_012825083.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Transmembrane region,NC_013422,HNEAP_RS11155,WP_012825083.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
RNGMNOXGNASE,NC_013595,SROS_RS20200,WP_012890807.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
RNGMNOXGNASE,NC_014145,THI_RS11995,WP_013106520.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
RNGMNOXGNASE,NC_014924,PSESU_RS13985,WP_041764189.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
RNGMNOXGNASE,NC_015677,RTA_RS01325,WP_049871198.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
Non cytoplasmic domain,NC_015677,RTA_RS01325,WP_049871198.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Cytoplasmic domain,NC_015677,RTA_RS01325,WP_049871198.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Transmembrane region,NC_015677,RTA_RS01325,WP_049871198.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
RNGMNOXGNASE,NC_015942,ACIFE_RS13615,WP_014030155.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
PNDRDTASEII,NC_015957,STRVI_RS21360,WP_014057731.1,PRINTS,PR00469,,Unintegrated,Unintegrated,PNDRDTASEII
,NC_015957,STRVI_RS21360,WP_014057731.1,GENE3D,G3DSA:3.30.9.100,,Unintegrated,Unintegrated,
RNGMNOXGNASE,NC_016147,DSC_RS15040,WP_043291479.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
disorder_prediction,NC_016147,DSC_RS15040,WP_043291479.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,NC_016147,DSC_RS15040,WP_043291479.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
RNGMNOXGNASE,NC_016582,SBI_RS03220,WP_043488723.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
,NC_016582,SBI_RS03220,WP_043488723.1,GENE3D,G3DSA:3.30.9.100,,Unintegrated,Unintegrated,
RNGMNOXGNASE,NC_016906,GPOL_RS11820,WP_014360004.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
,NC_016906,GPOL_RS11820,WP_014360004.1,GENE3D,G3DSA:3.30.9.100,,Unintegrated,Unintegrated,
RNGMNOXGNASE,NC_017093,AMIS_RS15935,WP_014443358.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
,NC_017093,AMIS_RS15935,WP_014443358.1,GENE3D,G3DSA:3.30.9.100,,Unintegrated,Unintegrated,
RNGMNOXGNASE,NC_017548,PAM18_RS12255,WP_003097588.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
RNGMNOXGNASE,NC_017803,ACPL_RS29945,WP_014693105.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
,NC_017803,ACPL_RS29945,WP_014693105.1,GENE3D,G3DSA:3.30.9.100,,Unintegrated,Unintegrated,
RNGMNOXGNASE,NC_017956,TMO_RS03040,WP_014744116.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
,NC_017956,TMO_RS03040,WP_014744116.1,GENE3D,G3DSA:3.30.9.100,,Unintegrated,Unintegrated,
,NC_017956,TMO_RS03040,WP_014744116.1,GENE3D,G3DSA:3.30.390.160,,Unintegrated,Unintegrated,
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_018217,MYCGRDRAFT_25671,XP_003854700.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
,NC_018750,SVEN_RS02330,WP_015031693.1,GENE3D,G3DSA:3.30.9.100,,Unintegrated,Unintegrated,
halo_ClmS,NC_018750,SVEN_RS04495,WP_015032134.1,NCBIFAM,NF033113,,Unintegrated,Unintegrated,halo_ClmS
RNGMNOXGNASE,NC_018750,SVEN_RS04495,WP_015032134.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
RNGMNOXGNASE,NC_020504,BN159_RS12115,WP_015657264.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
RNGMNOXGNASE,NC_021237,PFLCHA0_RS14230,WP_011061079.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
RNGMNOXGNASE,NC_021252,AORI_RS48430,WP_016331878.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
,NC_021252,AORI_RS48430,WP_016331878.1,GENE3D,G3DSA:3.30.9.100,,Unintegrated,Unintegrated,
RNGMNOXGNASE,NC_021252,AORI_RS67810,WP_016335688.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
,NC_021252,AORI_RS67810,WP_016335688.1,GENE3D,G3DSA:3.30.9.100,,Unintegrated,Unintegrated,
RNGMNOXGNASE,NC_021252,AORI_RS74160,WP_016336914.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
,NC_021252,AORI_RS74160,WP_016336914.1,GENE3D,G3DSA:3.30.9.100,,Unintegrated,Unintegrated,
Non cytoplasmic domain,NC_021252,AORI_RS74160,WP_016336914.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Signal Peptide,NC_021252,AORI_RS74160,WP_016336914.1,PHOBIUS,SIGNAL_PEPTIDE,,Unintegrated,Unintegrated,Signal Peptide
Signal peptide H-region,NC_021252,AORI_RS74160,WP_016336914.1,PHOBIUS,SIGNAL_PEPTIDE_H_REGION,,Unintegrated,Unintegrated,Signal peptide H-region
Signal peptide C-region,NC_021252,AORI_RS74160,WP_016336914.1,PHOBIUS,SIGNAL_PEPTIDE_C_REGION,,Unintegrated,Unintegrated,Signal peptide C-region
Signal peptide N-region,NC_021252,AORI_RS74160,WP_016336914.1,PHOBIUS,SIGNAL_PEPTIDE_N_REGION,,Unintegrated,Unintegrated,Signal peptide N-region
RNGMNOXGNASE,NC_021252,AORI_RS74165,WP_016336915.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
,NC_021252,AORI_RS74165,WP_016336915.1,GENE3D,G3DSA:3.30.9.100,,Unintegrated,Unintegrated,
disorder_prediction,NC_021658,SCE1572_RS25965,WP_236644745.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
,NC_021658,SCE1572_RS25965,WP_236644745.1,GENE3D,G3DSA:3.30.9.100,,Unintegrated,Unintegrated,
Non cytoplasmic domain,NC_021658,SCE1572_RS43725,WP_020740370.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Cytoplasmic domain,NC_021658,SCE1572_RS43725,WP_020740370.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Transmembrane region,NC_021658,SCE1572_RS43725,WP_020740370.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
disorder_prediction,NC_022785,M271_RS00350,WP_020865105.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
,NC_022785,M271_RS00350,WP_020865105.1,GENE3D,G3DSA:3.30.9.100,,Unintegrated,Unintegrated,
RNGMNOXGNASE,NC_022785,M271_RS09370,WP_020866841.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
,NC_022785,M271_RS09370,WP_020866841.1,GENE3D,G3DSA:3.30.9.100,,Unintegrated,Unintegrated,
RNGMNOXGNASE,NC_022785,M271_RS10095,WP_121825639.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
,NC_022785,M271_RS10095,WP_121825639.1,GENE3D,G3DSA:3.30.9.100,,Unintegrated,Unintegrated,
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_026475,FGSG_04596,XP_011320984.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
disorder_prediction,NC_035795,VFPPC_08963,XP_018140634.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
Non cytoplasmic domain,NC_035795,VFPPC_08963,XP_018140634.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Signal Peptide,NC_035795,VFPPC_08963,XP_018140634.1,PHOBIUS,SIGNAL_PEPTIDE,,Unintegrated,Unintegrated,Signal Peptide
Signal peptide C-region,NC_035795,VFPPC_08963,XP_018140634.1,PHOBIUS,SIGNAL_PEPTIDE_C_REGION,,Unintegrated,Unintegrated,Signal peptide C-region
Signal peptide H-region,NC_035795,VFPPC_08963,XP_018140634.1,PHOBIUS,SIGNAL_PEPTIDE_H_REGION,,Unintegrated,Unintegrated,Signal peptide H-region
Signal peptide N-region,NC_035795,VFPPC_08963,XP_018140634.1,PHOBIUS,SIGNAL_PEPTIDE_N_REGION,,Unintegrated,Unintegrated,Signal peptide N-region
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_036436,AO090001000289,XP_001818828.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_036437,AO090023000081,XP_001820669.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_036437,AO090023000878,XP_023090789.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_036439,AO090701000528,XP_023092177.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_049561,TRUGW13939_00237,XP_035339340.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
RNGMNOXGNASE,NC_049561,TRUGW13939_00286,XP_035339389.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_049563,TRUGW13939_05674,XP_035344727.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_054693,G4B84_004287,XP_041143955.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_054693,G4B84_004957,XP_041144625.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
RNGMNOXGNASE,NC_054695,G4B84_007762,XP_041147334.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
disorder_prediction,NC_054695,G4B84_007762,XP_041147334.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,NC_054695,G4B84_007762,XP_041147334.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,NC_054695,G4B84_007762,XP_041147334.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_054696,G4B84_010000,XP_041149537.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_054851,AKAW2_31583S,XP_041542030.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_054853,AKAW2_50945A,XP_041544366.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_054856,AKAW2_81217S,XP_041549178.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_054857,APUU_11480A,XP_041550846.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
Cytoplasmic domain,NC_054857,APUU_11480A,XP_041550846.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Non cytoplasmic domain,NC_054857,APUU_11480A,XP_041550846.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,NC_054857,APUU_11480A,XP_041550846.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_054858,APUU_20778S,XP_041552540.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_054858,APUU_20793S,XP_041552555.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_057368,ACHE_70016A,XP_043139695.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_063079,JDV02_010274,XP_047848019.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_064650,POX_a00795,XP_049973502.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_064653,POX_d06137,XP_049969913.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
RNGMNOXGNASE,NC_066260,ANIA_10884,XP_664673.2,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
disorder_prediction,NC_066260,ANIA_10884,XP_664673.2,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,NC_066260,ANIA_10884,XP_664673.2,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_066260,ANIA_10889,XP_050467915.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_066263,ANIA_02609,XP_660213.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
RNGMNOXGNASE,NC_072353,EYB26_007527,XP_054122768.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NC_072847,FOBC_13212,XP_031034802.2,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
Coil,NT_165977,CHGG_02303,XP_001228819.1,COILS,Coil,,Unintegrated,Unintegrated,Coil
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NT_165977,CHGG_02303,XP_001228819.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
RNGMNOXGNASE,NT_165980,CHGG_07641,XP_001225297.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
disorder_prediction,NT_165980,CHGG_08144,XP_001225800.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,NT_165980,CHGG_08144,XP_001225800.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
Non cytoplasmic domain,NT_165980,CHGG_08144,XP_001225800.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Signal Peptide,NT_165980,CHGG_08144,XP_001225800.1,PHOBIUS,SIGNAL_PEPTIDE,,Unintegrated,Unintegrated,Signal Peptide
Signal peptide C-region,NT_165980,CHGG_08144,XP_001225800.1,PHOBIUS,SIGNAL_PEPTIDE_C_REGION,,Unintegrated,Unintegrated,Signal peptide C-region
Signal peptide H-region,NT_165980,CHGG_08144,XP_001225800.1,PHOBIUS,SIGNAL_PEPTIDE_H_REGION,,Unintegrated,Unintegrated,Signal peptide H-region
Signal peptide N-region,NT_165980,CHGG_08144,XP_001225800.1,PHOBIUS,SIGNAL_PEPTIDE_N_REGION,,Unintegrated,Unintegrated,Signal peptide N-region
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NW_003052496,UREG_07660,XP_002582887.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
RNGMNOXGNASE,NW_006711176,TRIREDRAFT_69652,XP_006969188.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
disorder_prediction,NW_006711176,TRIREDRAFT_69652,XP_006969188.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,NW_006711176,TRIREDRAFT_69652,XP_006969188.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
RNGMNOXGNASE,NW_006763307,SERLADRAFT_418630,XP_007324371.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NW_006921533,MYCFIDRAFT_63149,XP_007922679.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NW_007361000,GLAREA_04256,XP_008084824.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
RNGMNOXGNASE,NW_009258206,HETIRDRAFT_429470,XP_009550677.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
RNGMNOXGNASE,NW_009258208,HETIRDRAFT_181184,XP_009552372.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
RNGMNOXGNASE,NW_009258208,HETIRDRAFT_181189,XP_009552395.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
Non cytoplasmic domain,NW_009258208,HETIRDRAFT_181189,XP_009552395.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Signal Peptide,NW_009258208,HETIRDRAFT_181189,XP_009552395.1,PHOBIUS,SIGNAL_PEPTIDE,,Unintegrated,Unintegrated,Signal Peptide
Signal peptide H-region,NW_009258208,HETIRDRAFT_181189,XP_009552395.1,PHOBIUS,SIGNAL_PEPTIDE_H_REGION,,Unintegrated,Unintegrated,Signal peptide H-region
Signal peptide C-region,NW_009258208,HETIRDRAFT_181189,XP_009552395.1,PHOBIUS,SIGNAL_PEPTIDE_C_REGION,,Unintegrated,Unintegrated,Signal peptide C-region
Signal peptide N-region,NW_009258208,HETIRDRAFT_181189,XP_009552395.1,PHOBIUS,SIGNAL_PEPTIDE_N_REGION,,Unintegrated,Unintegrated,Signal peptide N-region
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NW_011942151,MAA_06609,XP_007822798.2,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NW_011942154,MAA_07515,XP_007823704.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
disorder_prediction,NW_014013671,TRIVIDRAFT_192594,XP_013954854.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
RNGMNOXGNASE,NW_014013671,TRIVIDRAFT_192594,XP_013954854.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NW_014574694,MBR_09517,XP_014540425.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NW_016017388,SEPMUDRAFT_164469,XP_016760317.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NW_017253360,CC84DRAFT_1200541,XP_018041571.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NW_017253362,CC84DRAFT_1238840,XP_018038216.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NW_017253368,CC84DRAFT_1208051,XP_018032233.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NW_017253368,CC84DRAFT_1098462,XP_018032237.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NW_017263589,LY89DRAFT_613413,XP_018072834.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED,NW_017263591,LY89DRAFT_707160,XP_018072102.1,PANTHER,PTHR43712,,Unintegrated,Unintegrated,PUTATIVE (AFU_ORTHOLOGUE AFUA_4G14580)-RELATED
RNGMNOXGNASE,NW_017263599,LY89DRAFT_754476,XP_018067956.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
Non cytoplasmic domain,NW_017263599,LY89DRAFT_754476,XP_018067956.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Signal Peptide,NW_017263599,LY89DRAFT_754476,XP_018067956.1,PHOBIUS,SIGNAL_PEPTIDE,,Unintegrated,Unintegrated,Signal Peptide
