Accession	Organism	TaxID	Taxonomic_Lineage
WUT12792.1	  Streptomyces virginiae	1961	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces
WUS82881.1	  Streptomyces canus	58343	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; Streptomyces aurantiacus group
WTJ05308.1	  Streptomyces lydicus	47763	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces
WTI96354.1	  Streptomyces sp. NBC_00723	2903673	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WTI88034.1	  Streptomyces sp. NBC_00724	2975812	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WTI12315.1	  Streptomyces sp. NBC_00820	2975842	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WTI09675.1	  Micromonospora sp. NBC_00821	2975977	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Micromonospora; unclassified Micromonospora
WTI04229.1	  Streptomyces sp. NBC_00822	2975843	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WTH95499.1	  Streptomyces sp. NBC_00825	2975844	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WTB59913.1	  Streptomyces sp. NBC_00826	2975845	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WTB14733.1	  Streptomyces sp. NBC_00829	2903679	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WTA44591.1	  Streptomyces sp. NBC_00842	2975848	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WTA11358.1	  Nocardioides sp. NBC_00850	2976001	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Nocardioides; unclassified Nocardioides
WTA69197.1	  Micromonospora sp. NBC_00855	2975978	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Micromonospora; unclassified Micromonospora
WSZ86267.1	  Streptomyces sp. NBC_00859	2903682	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WSZ74325.1	  Micromonospora sp. NBC_00860	2975980	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Micromonospora; unclassified Micromonospora
WSY98626.1	  Streptomyces sp. NBC_00872	2903686	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WSY93547.1	  Streptomyces sp. NBC_00873	2975852	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WSY75531.1	  Streptomyces sp. NBC_00879	2975855	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WSY67953.1	  Streptomyces sp. NBC_00885	2975857	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WSY40879.1	  Embleya sp. NBC_00888	2975960	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Embleya; unclassified Embleya
WSY42903.1	  Embleya sp. NBC_00888	2975960	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Embleya; unclassified Embleya
WSY12925.1	  Embleya sp. NBC_00896	2975961	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Embleya; unclassified Embleya
WSX82703.1	  Micromonospora sp. NBC_00898	2975981	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Micromonospora; unclassified Micromonospora
WSX46777.1	  Streptomyces sp. NBC_00963	2903697	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WSX33518.1	  Streptomyces sp. NBC_00984	2903700	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WSX07161.1	  Streptomyces sp. NBC_00987	2903703	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WSW37574.1	  Streptomyces canus	58343	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; Streptomyces aurantiacus group
WSW10492.1	  Streptomyces sp. NBC_01005	2903715	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WSV29387.1	  Streptomyces sp. NBC_01017	2903721	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WSV24152.1	  Streptomyces griseus	1911	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; Streptomyces griseus group; Streptomyces griseus subgroup
WSV09785.1	  Streptomyces prunicolor	67348	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces
WSU19363.1	  Streptomyces albidoflavus	1886	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; Streptomyces albidoflavus group
WST69732.1	  Streptomyces uncialis	1048205	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces
WST12261.1	  Streptomyces albidoflavus	1886	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; Streptomyces albidoflavus group
WSS25847.1	  Streptomyces sp. NBC_01185	2903764	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WSS08953.1	  Microbispora sp. NBC_01189	2903583	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Streptosporangiales; Streptosporangiaceae; Microbispora; unclassified Microbispora
WSR41184.1	  Kitasatospora purpeofusca	67352	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Kitasatospora
WSR33109.1	  Kitasatospora purpeofusca	67352	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Kitasatospora
WSR26924.1	  Streptomyces sp. NBC_01205	2903771	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WSQ57701.1	  Streptomyces sp. NBC_01217	2903779	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WSQ28883.1	  Streptomyces sp. NBC_01230	2903784	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WSP70607.1	  Streptomyces sp. NBC_01236	2903789	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
