Name,Sequence Name,Database,Id,InterPro ID,InterPro Name,InterPro Type,Name
PKS,NC_016935|c2418317-2521499|2450569-2460798|+|PM3016_RS10825|SDR_family_NAD(P)-dependent_oxidoreductase|WP_014369465.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
KR_2_SDR_x,NC_016935|c2418317-2521499|2450569-2460798|+|PM3016_RS10825|SDR_family_NAD(P)-dependent_oxidoreductase|WP_014369465.1,CDD,cd08953,,Unintegrated,Unintegrated,KR_2_SDR_x
AdoMet_MTases,NC_016935|c2418317-2521499|2450569-2460798|+|PM3016_RS10825|SDR_family_NAD(P)-dependent_oxidoreductase|WP_014369465.1,CDD,cd02440,,Unintegrated,Unintegrated,AdoMet_MTases
disorder_prediction,NC_016935|c2418317-2521499|2450569-2460798|+|PM3016_RS10825|SDR_family_NAD(P)-dependent_oxidoreductase|WP_014369465.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,NC_016935|c2418317-2521499|2450569-2460798|+|PM3016_RS10825|SDR_family_NAD(P)-dependent_oxidoreductase|WP_014369465.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,NC_016935|c2418317-2521499|2450569-2460798|+|PM3016_RS10825|SDR_family_NAD(P)-dependent_oxidoreductase|WP_014369465.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,NC_016935|c2418317-2521499|2450569-2460798|+|PM3016_RS10825|SDR_family_NAD(P)-dependent_oxidoreductase|WP_014369465.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
17clusters_betabranch_W,NC_016935|c2418317-2521499|2450569-2460798|+|PM3016_RS10825|SDR_family_NAD(P)-dependent_oxidoreductase|WP_014369465.1,SMART,SM01294,,Unintegrated,Unintegrated,17clusters_betabranch_W
PKS_KR,NC_016935|c2418317-2521499|2450569-2460798|+|PM3016_RS10825|SDR_family_NAD(P)-dependent_oxidoreductase|WP_014369465.1,SMART,SM00822,,Unintegrated,Unintegrated,PKS_KR
CurL-like_PKS_C,NC_016935|c2418317-2521499|2450569-2460798|+|PM3016_RS10825|SDR_family_NAD(P)-dependent_oxidoreductase|WP_014369465.1,PFAM,PF22621,,Unintegrated,Unintegrated,CurL-like_PKS_C
,NC_016935|c2418317-2521499|2450569-2460798|+|PM3016_RS10825|SDR_family_NAD(P)-dependent_oxidoreductase|WP_014369465.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
,NC_016935|c2418317-2521499|2450569-2460798|+|PM3016_RS10825|SDR_family_NAD(P)-dependent_oxidoreductase|WP_014369465.1,GENE3D,G3DSA:3.30.70.3290,,Unintegrated,Unintegrated,
,NC_016935|c2418317-2521499|2450569-2460798|+|PM3016_RS10825|SDR_family_NAD(P)-dependent_oxidoreductase|WP_014369465.1,GENE3D,G3DSA:1.10.1240.100,,Unintegrated,Unintegrated,
,NC_016935|c2418317-2521499|2450569-2460798|+|PM3016_RS10825|SDR_family_NAD(P)-dependent_oxidoreductase|WP_014369465.1,GENE3D,G3DSA:1.10.1240.100,,Unintegrated,Unintegrated,
Coil,NZ_CP034279|c2205489-2286666|2253144-2260913|-|EIZ62_RS09545|non-ribosomal_peptide_synthetase|WP_156692277.1,COILS,Coil,,Unintegrated,Unintegrated,Coil
A_NRPS_AB3403-like,NZ_CP034279|c2205489-2286666|2253144-2260913|-|EIZ62_RS09545|non-ribosomal_peptide_synthetase|WP_156692277.1,CDD,cd17646,,Unintegrated,Unintegrated,A_NRPS_AB3403-like
LCL_NRPS-like,NZ_CP034279|c2205489-2286666|2253144-2260913|-|EIZ62_RS09545|non-ribosomal_peptide_synthetase|WP_156692277.1,CDD,cd19531,,Unintegrated,Unintegrated,LCL_NRPS-like
PKS,NZ_CP034279|c2205489-2286666|2253144-2260913|-|EIZ62_RS09545|non-ribosomal_peptide_synthetase|WP_156692277.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
17clusters_betabranch_W,NZ_CP034279|c2205489-2286666|2253144-2260913|-|EIZ62_RS09545|non-ribosomal_peptide_synthetase|WP_156692277.1,SMART,SM01294,,Unintegrated,Unintegrated,17clusters_betabranch_W
Acetyl-CoA synthetase-like,NZ_CP034279|c2205489-2286666|2253144-2260913|-|EIZ62_RS09545|non-ribosomal_peptide_synthetase|WP_156692277.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
CoA-dependent acyltransferases,NZ_CP034279|c2205489-2286666|2253144-2260913|-|EIZ62_RS09545|non-ribosomal_peptide_synthetase|WP_156692277.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,NZ_CP034279|c2205489-2286666|2253144-2260913|-|EIZ62_RS09545|non-ribosomal_peptide_synthetase|WP_156692277.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,NZ_CP034279|c2205489-2286666|2253144-2260913|-|EIZ62_RS09545|non-ribosomal_peptide_synthetase|WP_156692277.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,NZ_CP034279|c2205489-2286666|2253144-2260913|-|EIZ62_RS09545|non-ribosomal_peptide_synthetase|WP_156692277.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
,NZ_CP034279|c2205489-2286666|2253144-2260913|-|EIZ62_RS09545|non-ribosomal_peptide_synthetase|WP_156692277.1,GENE3D,G3DSA:3.30.70.3290,,Unintegrated,Unintegrated,
,NZ_CP034279|c2205489-2286666|2253144-2260913|-|EIZ62_RS09545|non-ribosomal_peptide_synthetase|WP_156692277.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
"Nonribosomal peptide synthetase, condensation domain",NZ_CP034279|c2205489-2286666|2253144-2260913|-|EIZ62_RS09545|non-ribosomal_peptide_synthetase|WP_156692277.1,GENE3D,G3DSA:3.30.559.30,,Unintegrated,Unintegrated,"Nonribosomal peptide synthetase, condensation domain"
"Nonribosomal peptide synthetase, condensation domain",NZ_CP034279|c2205489-2286666|2253144-2260913|-|EIZ62_RS09545|non-ribosomal_peptide_synthetase|WP_156692277.1,GENE3D,G3DSA:3.30.559.30,,Unintegrated,Unintegrated,"Nonribosomal peptide synthetase, condensation domain"
,NZ_CP034279|c2205489-2286666|2253144-2260913|-|EIZ62_RS09545|non-ribosomal_peptide_synthetase|WP_156692277.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
Luciferase; Domain 3,NZ_CP034279|c2205489-2286666|2253144-2260913|-|EIZ62_RS09545|non-ribosomal_peptide_synthetase|WP_156692277.1,GENE3D,G3DSA:2.30.38.10,,Unintegrated,Unintegrated,Luciferase; Domain 3
NONRIBOSOMAL PEPTIDE SYNTHETASE,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,PANTHER,PTHR45527,,Unintegrated,Unintegrated,NONRIBOSOMAL PEPTIDE SYNTHETASE
PRK04813.1,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,NCBIFAM,NF003417,,Unintegrated,Unintegrated,PRK04813.1
A_NRPS_Cytc1-like,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,CDD,cd17643,,Unintegrated,Unintegrated,A_NRPS_Cytc1-like
LCL_NRPS-like,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,CDD,cd19540,,Unintegrated,Unintegrated,LCL_NRPS-like
LCL_NRPS-like,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,CDD,cd19540,,Unintegrated,Unintegrated,LCL_NRPS-like
Non cytoplasmic domain,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Signal Peptide,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,PHOBIUS,SIGNAL_PEPTIDE,,Unintegrated,Unintegrated,Signal Peptide
Signal peptide N-region,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,PHOBIUS,SIGNAL_PEPTIDE_N_REGION,,Unintegrated,Unintegrated,Signal peptide N-region
Signal peptide H-region,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,PHOBIUS,SIGNAL_PEPTIDE_H_REGION,,Unintegrated,Unintegrated,Signal peptide H-region
Signal peptide C-region,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,PHOBIUS,SIGNAL_PEPTIDE_C_REGION,,Unintegrated,Unintegrated,Signal peptide C-region
Acetyl-CoA synthetase-like,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
Acetyl-CoA synthetase-like,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
CoA-dependent acyltransferases,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
Acetyl-CoA synthetase-like,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
CoA-dependent acyltransferases,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
"Nonribosomal peptide synthetase, condensation domain",NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,GENE3D,G3DSA:3.30.559.30,,Unintegrated,Unintegrated,"Nonribosomal peptide synthetase, condensation domain"
,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
Luciferase; Domain 3,NZ_CP046172|c976687-1074645|1013606-1020958|+|F5544_RS04760|non-ribosomal_peptide_synthetase|WP_167472041.1,GENE3D,G3DSA:2.30.38.10,,Unintegrated,Unintegrated,Luciferase; Domain 3
NONRIBOSOMAL PEPTIDE SYNTHETASE,NZ_CP015412|c743404-839173|811866-819173|+|S4054249_RS23775|non-ribosomal_peptide_synthetase|WP_052961099.1,PANTHER,PTHR45527,,Unintegrated,Unintegrated,NONRIBOSOMAL PEPTIDE SYNTHETASE
PRK04813.1,NZ_CP015412|c743404-839173|811866-819173|+|S4054249_RS23775|non-ribosomal_peptide_synthetase|WP_052961099.1,NCBIFAM,NF003417,,Unintegrated,Unintegrated,PRK04813.1
A_NRPS,NZ_CP015412|c743404-839173|811866-819173|+|S4054249_RS23775|non-ribosomal_peptide_synthetase|WP_052961099.1,CDD,cd05930,,Unintegrated,Unintegrated,A_NRPS
A_NRPS_Ta1_like,NZ_CP015412|c743404-839173|811866-819173|+|S4054249_RS23775|non-ribosomal_peptide_synthetase|WP_052961099.1,CDD,cd12116,,Unintegrated,Unintegrated,A_NRPS_Ta1_like
LCL_NRPS-like,NZ_CP015412|c743404-839173|811866-819173|+|S4054249_RS23775|non-ribosomal_peptide_synthetase|WP_052961099.1,CDD,cd19531,,Unintegrated,Unintegrated,LCL_NRPS-like
E-C_NRPS,NZ_CP015412|c743404-839173|811866-819173|+|S4054249_RS23775|non-ribosomal_peptide_synthetase|WP_052961099.1,CDD,cd19544,,Unintegrated,Unintegrated,E-C_NRPS
Acetyl-CoA synthetase-like,NZ_CP015412|c743404-839173|811866-819173|+|S4054249_RS23775|non-ribosomal_peptide_synthetase|WP_052961099.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
Acetyl-CoA synthetase-like,NZ_CP015412|c743404-839173|811866-819173|+|S4054249_RS23775|non-ribosomal_peptide_synthetase|WP_052961099.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
CoA-dependent acyltransferases,NZ_CP015412|c743404-839173|811866-819173|+|S4054249_RS23775|non-ribosomal_peptide_synthetase|WP_052961099.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,NZ_CP015412|c743404-839173|811866-819173|+|S4054249_RS23775|non-ribosomal_peptide_synthetase|WP_052961099.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,NZ_CP015412|c743404-839173|811866-819173|+|S4054249_RS23775|non-ribosomal_peptide_synthetase|WP_052961099.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,NZ_CP015412|c743404-839173|811866-819173|+|S4054249_RS23775|non-ribosomal_peptide_synthetase|WP_052961099.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
,NZ_CP015412|c743404-839173|811866-819173|+|S4054249_RS23775|non-ribosomal_peptide_synthetase|WP_052961099.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
,NZ_CP015412|c743404-839173|811866-819173|+|S4054249_RS23775|non-ribosomal_peptide_synthetase|WP_052961099.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
"Nonribosomal peptide synthetase, condensation domain",NZ_CP015412|c743404-839173|811866-819173|+|S4054249_RS23775|non-ribosomal_peptide_synthetase|WP_052961099.1,GENE3D,G3DSA:3.30.559.30,,Unintegrated,Unintegrated,"Nonribosomal peptide synthetase, condensation domain"
"Nonribosomal peptide synthetase, condensation domain",NZ_CP015412|c743404-839173|811866-819173|+|S4054249_RS23775|non-ribosomal_peptide_synthetase|WP_052961099.1,GENE3D,G3DSA:3.30.559.30,,Unintegrated,Unintegrated,"Nonribosomal peptide synthetase, condensation domain"
Luciferase; Domain 3,NZ_CP015412|c743404-839173|811866-819173|+|S4054249_RS23775|non-ribosomal_peptide_synthetase|WP_052961099.1,GENE3D,G3DSA:2.30.38.10,,Unintegrated,Unintegrated,Luciferase; Domain 3
Luciferase; Domain 3,NZ_CP015412|c743404-839173|811866-819173|+|S4054249_RS23775|non-ribosomal_peptide_synthetase|WP_052961099.1,GENE3D,G3DSA:2.30.38.10,,Unintegrated,Unintegrated,Luciferase; Domain 3
NONRIBOSOMAL PEPTIDE SYNTHETASE,NZ_CP007806|c3392466-3439480|3412467-3419480|-|BRLA_RS14705|non-ribosomal_peptide_synthetase|WP_003335759.1,PANTHER,PTHR45527,,Unintegrated,Unintegrated,NONRIBOSOMAL PEPTIDE SYNTHETASE
Coil,NZ_CP007806|c3392466-3439480|3412467-3419480|-|BRLA_RS14705|non-ribosomal_peptide_synthetase|WP_003335759.1,COILS,Coil,,Unintegrated,Unintegrated,Coil
Coil,NZ_CP007806|c3392466-3439480|3412467-3419480|-|BRLA_RS14705|non-ribosomal_peptide_synthetase|WP_003335759.1,COILS,Coil,,Unintegrated,Unintegrated,Coil
PRK04813.1,NZ_CP007806|c3392466-3439480|3412467-3419480|-|BRLA_RS14705|non-ribosomal_peptide_synthetase|WP_003335759.1,NCBIFAM,NF003417,,Unintegrated,Unintegrated,PRK04813.1
A_NRPS,NZ_CP007806|c3392466-3439480|3412467-3419480|-|BRLA_RS14705|non-ribosomal_peptide_synthetase|WP_003335759.1,CDD,cd05930,,Unintegrated,Unintegrated,A_NRPS
A_NRPS,NZ_CP007806|c3392466-3439480|3412467-3419480|-|BRLA_RS14705|non-ribosomal_peptide_synthetase|WP_003335759.1,CDD,cd05930,,Unintegrated,Unintegrated,A_NRPS
LCL_NRPS-like,NZ_CP007806|c3392466-3439480|3412467-3419480|-|BRLA_RS14705|non-ribosomal_peptide_synthetase|WP_003335759.1,CDD,cd19531,,Unintegrated,Unintegrated,LCL_NRPS-like
Acetyl-CoA synthetase-like,NZ_CP007806|c3392466-3439480|3412467-3419480|-|BRLA_RS14705|non-ribosomal_peptide_synthetase|WP_003335759.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
Acetyl-CoA synthetase-like,NZ_CP007806|c3392466-3439480|3412467-3419480|-|BRLA_RS14705|non-ribosomal_peptide_synthetase|WP_003335759.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
CoA-dependent acyltransferases,NZ_CP007806|c3392466-3439480|3412467-3419480|-|BRLA_RS14705|non-ribosomal_peptide_synthetase|WP_003335759.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,NZ_CP007806|c3392466-3439480|3412467-3419480|-|BRLA_RS14705|non-ribosomal_peptide_synthetase|WP_003335759.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,NZ_CP007806|c3392466-3439480|3412467-3419480|-|BRLA_RS14705|non-ribosomal_peptide_synthetase|WP_003335759.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,NZ_CP007806|c3392466-3439480|3412467-3419480|-|BRLA_RS14705|non-ribosomal_peptide_synthetase|WP_003335759.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
,NZ_CP007806|c3392466-3439480|3412467-3419480|-|BRLA_RS14705|non-ribosomal_peptide_synthetase|WP_003335759.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
"Nonribosomal peptide synthetase, condensation domain",NZ_CP007806|c3392466-3439480|3412467-3419480|-|BRLA_RS14705|non-ribosomal_peptide_synthetase|WP_003335759.1,GENE3D,G3DSA:3.30.559.30,,Unintegrated,Unintegrated,"Nonribosomal peptide synthetase, condensation domain"
,NZ_CP007806|c3392466-3439480|3412467-3419480|-|BRLA_RS14705|non-ribosomal_peptide_synthetase|WP_003335759.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
Luciferase; Domain 3,NZ_CP007806|c3392466-3439480|3412467-3419480|-|BRLA_RS14705|non-ribosomal_peptide_synthetase|WP_003335759.1,GENE3D,G3DSA:2.30.38.10,,Unintegrated,Unintegrated,Luciferase; Domain 3
Helix hairpin bin,NZ_CP007806|c3392466-3439480|3412467-3419480|-|BRLA_RS14705|non-ribosomal_peptide_synthetase|WP_003335759.1,GENE3D,G3DSA:1.10.287.490,,Unintegrated,Unintegrated,Helix hairpin bin
NONRIBOSOMAL PEPTIDE SYNTHETASE,NZ_CP017705|c1550570-1597584|1570571-1577584|-|BrL25_RS07625|non-ribosomal_peptide_synthetase|WP_018670344.1,PANTHER,PTHR45527,,Unintegrated,Unintegrated,NONRIBOSOMAL PEPTIDE SYNTHETASE
Coil,NZ_CP017705|c1550570-1597584|1570571-1577584|-|BrL25_RS07625|non-ribosomal_peptide_synthetase|WP_018670344.1,COILS,Coil,,Unintegrated,Unintegrated,Coil
Coil,NZ_CP017705|c1550570-1597584|1570571-1577584|-|BrL25_RS07625|non-ribosomal_peptide_synthetase|WP_018670344.1,COILS,Coil,,Unintegrated,Unintegrated,Coil
PRK04813.1,NZ_CP017705|c1550570-1597584|1570571-1577584|-|BrL25_RS07625|non-ribosomal_peptide_synthetase|WP_018670344.1,NCBIFAM,NF003417,,Unintegrated,Unintegrated,PRK04813.1
A_NRPS,NZ_CP017705|c1550570-1597584|1570571-1577584|-|BrL25_RS07625|non-ribosomal_peptide_synthetase|WP_018670344.1,CDD,cd05930,,Unintegrated,Unintegrated,A_NRPS
A_NRPS,NZ_CP017705|c1550570-1597584|1570571-1577584|-|BrL25_RS07625|non-ribosomal_peptide_synthetase|WP_018670344.1,CDD,cd05930,,Unintegrated,Unintegrated,A_NRPS
LCL_NRPS-like,NZ_CP017705|c1550570-1597584|1570571-1577584|-|BrL25_RS07625|non-ribosomal_peptide_synthetase|WP_018670344.1,CDD,cd19531,,Unintegrated,Unintegrated,LCL_NRPS-like
Acetyl-CoA synthetase-like,NZ_CP017705|c1550570-1597584|1570571-1577584|-|BrL25_RS07625|non-ribosomal_peptide_synthetase|WP_018670344.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
Acetyl-CoA synthetase-like,NZ_CP017705|c1550570-1597584|1570571-1577584|-|BrL25_RS07625|non-ribosomal_peptide_synthetase|WP_018670344.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
CoA-dependent acyltransferases,NZ_CP017705|c1550570-1597584|1570571-1577584|-|BrL25_RS07625|non-ribosomal_peptide_synthetase|WP_018670344.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,NZ_CP017705|c1550570-1597584|1570571-1577584|-|BrL25_RS07625|non-ribosomal_peptide_synthetase|WP_018670344.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,NZ_CP017705|c1550570-1597584|1570571-1577584|-|BrL25_RS07625|non-ribosomal_peptide_synthetase|WP_018670344.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
CoA-dependent acyltransferases,NZ_CP017705|c1550570-1597584|1570571-1577584|-|BrL25_RS07625|non-ribosomal_peptide_synthetase|WP_018670344.1,SUPERFAMILY,SSF52777,,Unintegrated,Unintegrated,CoA-dependent acyltransferases
,NZ_CP017705|c1550570-1597584|1570571-1577584|-|BrL25_RS07625|non-ribosomal_peptide_synthetase|WP_018670344.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
,NZ_CP017705|c1550570-1597584|1570571-1577584|-|BrL25_RS07625|non-ribosomal_peptide_synthetase|WP_018670344.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
Luciferase; Domain 3,NZ_CP017705|c1550570-1597584|1570571-1577584|-|BrL25_RS07625|non-ribosomal_peptide_synthetase|WP_018670344.1,GENE3D,G3DSA:2.30.38.10,,Unintegrated,Unintegrated,Luciferase; Domain 3
